module,scenario,year,trades,censored,winners,losers,ties,win_rate,mean_winner,median_winner,mean_loser,median_loser,average_return,median_return,expectancy,profit_factor,average_holding,median_holding,worst_return,p05_return,expected_shortfall05,top5_share_gross_profit
breakout,skip_distance_to_upper_band_atr_1,2024,150,0,73,77,0,0.4866666666666667,0.06653508712281417,0.03592261275129083,-0.042324930423407646,-0.035903943863734855,0.010653611449086968,-0.0025830023519298195,0.010653611449086968,1.4903443036897377,12.346666666666666,10.0,-0.1437077899233894,-0.08377920934830232,-0.10523520572419034,0.26835327270615417
breakout,skip_distance_to_upper_band_atr_1,2025,101,0,38,63,0,0.37623762376237624,0.07328329054746438,0.05125542198024913,-0.04421783125180108,-0.03561418998193999,-9.488396631896483e-06,-0.01968286468023095,-9.488396631896483e-06,0.9996559859207367,11.891089108910892,10.0,-0.16202942358134653,-0.08251588658587938,-0.10922484882096717,0.3712379129088589
breakout,skip_distance_to_upper_band_atr_1,2026,82,2,30,52,0,0.36585365853658536,0.08101707391628835,0.044039515338515245,-0.05288255195739071,-0.04696968135529639,-0.00389488395482519,-0.014104589563305625,-0.00389488395482519,0.8838571104652808,11.097560975609756,8.5,-0.21953813037602288,-0.09865661754356889,-0.13583164708244005,0.46569838707337313
breakout,time_10,2021,25,0,6,19,0,0.24,0.03328220856384142,0.01873229938978971,-0.04245396112348273,-0.04565287177665278,-0.024277280398524934,-0.021360495159926107,-0.024277280398524934,0.24756632472652998,8.28,7.0,-0.10933888191320018,-0.0760733019650763,-0.09343323853533242,0.9769502562916014
breakout,time_10,2022,34,0,12,22,0,0.35294117647058826,0.05680469095695936,0.03219103192603101,-0.03255033878194272,-0.031756478360826235,-0.0010132694623302227,-0.00915943562442384,-0.0010132694623302227,0.9518910722613664,11.117647058823529,8.5,-0.09928727415436644,-0.07395134458876339,-0.0932861727078606,0.7757343309942017
breakout,time_10,2023,112,0,47,65,0,0.41964285714285715,0.07510718112119383,0.03297491520671181,-0.04149094192316621,-0.03862984407277825,0.007438627568663443,-0.012768430247553864,0.007438627568663443,1.3089186918596158,13.107142857142858,11.0,-0.13822502620668287,-0.07470160775492567,-0.09689099909293325,0.5455455611591891
breakout,time_10,2024,167,0,79,88,0,0.47305389221556887,0.06559648697689852,0.03592261275129083,-0.041633054849804674,-0.03556261565268093,0.009092297271809406,-0.0037972524447712486,0.009092297271809406,1.414447139819658,12.718562874251496,10.0,-0.1437077899233894,-0.08125779390168215,-0.10268151347446852,0.25152016744710326
breakout,time_10,2025,115,0,44,71,0,0.3826086956521739,0.0720715057395262,0.0492907889911286,-0.04528403972917983,-0.042169318516553145,-0.00038278754984883686,-0.021477284207526592,-0.00038278754984883686,0.9863084652565404,11.808695652173913,10.0,-0.16202942358134653,-0.08153605622139481,-0.11196985404928012,0.32600526098779636
breakout,time_10,2026,94,2,35,59,0,0.3723404255319149,0.08455870997021357,0.04353303278555676,-0.051217179453100566,-0.045906824214916764,-0.0006623270082495445,-0.013887027002933539,-0.0006623270082495445,0.9793968962783812,11.340425531914894,8.0,-0.21953813037602288,-0.09372006510507426,-0.13583164708244005,0.4469281713831135
breakout,time_15,2021,25,0,6,19,0,0.24,0.03328220856384142,0.01873229938978971,-0.04245396112348273,-0.04565287177665278,-0.024277280398524934,-0.021360495159926107,-0.024277280398524934,0.24756632472652998,8.28,7.0,-0.10933888191320018,-0.0760733019650763,-0.09343323853533242,0.9769502562916014
breakout,time_15,2022,34,0,12,22,0,0.35294117647058826,0.05680469095695936,0.03219103192603101,-0.03255033878194272,-0.031756478360826235,-0.0010132694623302227,-0.00915943562442384,-0.0010132694623302227,0.9518910722613664,11.117647058823529,8.5,-0.09928727415436644,-0.07395134458876339,-0.0932861727078606,0.7757343309942017
breakout,time_15,2023,112,0,47,65,0,0.41964285714285715,0.07510718112119383,0.03297491520671181,-0.04149094192316621,-0.03862984407277825,0.007438627568663443,-0.012768430247553864,0.007438627568663443,1.3089186918596158,13.107142857142858,11.0,-0.13822502620668287,-0.07470160775492567,-0.09689099909293325,0.5455455611591891
breakout,time_15,2024,167,0,79,88,0,0.47305389221556887,0.06559648697689852,0.03592261275129083,-0.041633054849804674,-0.03556261565268093,0.009092297271809406,-0.0037972524447712486,0.009092297271809406,1.414447139819658,12.718562874251496,10.0,-0.1437077899233894,-0.08125779390168215,-0.10268151347446852,0.25152016744710326
breakout,time_15,2025,115,0,44,71,0,0.3826086956521739,0.0720715057395262,0.0492907889911286,-0.04528403972917983,-0.042169318516553145,-0.00038278754984883686,-0.021477284207526592,-0.00038278754984883686,0.9863084652565404,11.808695652173913,10.0,-0.16202942358134653,-0.08153605622139481,-0.11196985404928012,0.32600526098779636
breakout,time_15,2026,94,2,35,59,0,0.3723404255319149,0.08455870997021357,0.04353303278555676,-0.051217179453100566,-0.045906824214916764,-0.0006623270082495445,-0.013887027002933539,-0.0006623270082495445,0.9793968962783812,11.340425531914894,8.0,-0.21953813037602288,-0.09372006510507426,-0.13583164708244005,0.4469281713831135
breakout,time_5,2021,25,0,6,19,0,0.24,0.03328220856384142,0.01873229938978971,-0.03858845079751869,-0.033367380426485904,-0.02133949255079227,-0.017533161356969917,-0.02133949255079227,0.2723657184522014,7.6,6.0,-0.10933888191320018,-0.0760733019650763,-0.09343323853533242,0.9769502562916014
breakout,time_5,2022,35,0,11,24,0,0.3142857142857143,0.05968243868228062,0.03292121755966737,-0.031073669745987947,-0.029476961372505772,-0.0025503213828178264,-0.010480445228906121,-0.0025503213828178264,0.8803096411309385,10.8,7.0,-0.09928727415436644,-0.07292567330625635,-0.0932861727078606,0.8054511647081937
